zoneID,repVoteshare,totalVotes
18063,72.65,40221.0
18065,57.44,18315.0
18067,61.18,34095.0
18069,71.06,14620.0
18071,62.94,14602.0
18073,65.83,11167.0
18075,59.68,8030.0
18077,56.26,11931.0
18079,61.76,9494.0
18081,71.1,42284.0
18083,57.39,15054.0
18085,76.7,25284.0
18087,66.55,8333.0
18089,36.75,175994.0
18091,49.04,39747.0
18093,67.8,16142.0
18095,54.43,52216.0
18097,50.67,279903.0
18099,64.95,16150.0
18101,66.46,4609.0
18103,66.91,12928.0
18105,52.21,40220.0
18107,69.52,13101.0
18109,71.05,22036.0
18111,60.74,5510.0
18113,65.37,14216.0
18115,61.44,2492.0
18117,64.31,7458.0
18119,64.08,6503.0
18121,60.76,6447.0
18123,47.52,7387.0
18125,57.79,6302.0
18127,53.77,59378.0
18129,59.46,11110.0
18131,64.57,5518.0
18133,64.07,11871.0
18135,60.65,10132.0
18137,66.64,10675.0
18139,66.71,7284.0
18141,49.94,97474.0
18143,49.0,7846.0
18145,64.09,15310.0
18147,57.59,8987.0
18149,51.26,8701.0
18151,62.89,11277.0
18153,52.98,8262.0
18155,57.81,3239.0
18157,58.9,46295.0
18159,66.67,7316.0
18161,66.47,2828.0
18163,55.09,66221.0
18165,48.15,6633.0
18167,50.63,36228.0
18169,66.05,12883.0
18171,60.12,3768.0
18173,60.15,22309.0
18175,61.49,9801.0
18177,58.15,25151.0
18179,70.03,11281.0
18181,62.29,9904.0
18183,66.3,12432.0
19001,56.48,4123.0
19003,56.6,2145.0
19005,53.2,6462.0
19007,53.89,5704.0
19009,51.75,3784.0
19011,48.04,11766.0
19013,43.8,55085.0
19015,47.29,12249.0
19017,52.33,11175.0
19019,44.78,9410.0
19021,56.91,7977.0
19023,58.38,6724.0
19025,56.56,5041.0
19027,52.23,9568.0
19029,62.9,6880.0
19031,49.99,8344.0
19033,43.54,22162.0
19035,54.9,6592.0
19037,46.08,6584.0
19039,48.81,4176.0
19041,54.79,7578.0
19043,48.77,8571.0
19045,42.92,22180.0
19047,55.09,6555.0
19049,54.62,19330.0
19051,53.63,3758.0
19053,53.2,3709.0
19055,52.88,8349.0
19057,39.42,19365.0
19059,53.58,8121.0
19061,42.42,40323.0
19063,51.85,4630.0
19065,50.57,9621.0
19067,45.45,7238.0
19069,55.6,4938.0
19071,58.65,3616.0
19073,49.79,4719.0
19075,64.29,6111.0
19077,53.25,5469.0
19079,53.8,7574.0
19081,56.71,5438.0
19083,54.57,8435.0
19085,59.85,6543.0
19087,53.39,8671.0
19089,44.2,4491.0
19091,59.35,4940.0
19093,58.24,3491.0
19095,54.66,7413.0
19097,43.25,9032.0
19099,50.09,17835.0
19101,53.15,7548.0
19103,36.47,52769.0
19105,47.25,9143.0
19107,54.1,4947.0
19109,53.8,8878.0
19111,39.69,16572.0
19113,45.25,92064.0
19115,49.03,4637.0
19117,53.91,4303.0
19119,74.9,5342.0
19121,54.21,6969.0
19123,63.92,9543.0
19125,59.28,14408.0
19127,51.35,17624.0
19129,64.37,5915.0
19131,47.4,5162.0
19133,52.48,4560.0
19135,52.24,3647.0
19137,65.02,5394.0
19139,48.15,16076.0
19141,NA,NA
19143,69.33,3063.0
19145,66.68,7059.0
19147,50.16,4823.0
19149,63.88,10118.0
19151,56.36,4141.0
19153,47.12,174167.0
19155,56.05,34467.0
19157,51.01,8980.0
19159,52.35,2692.0
19161,56.94,5033.0
19163,47.77,70568.0
19165,62.65,6009.0
19167,85.07,14692.0
19169,48.15,35364.0
19171,49.93,8315.0
19173,58.67,3096.0
19175,54.18,5740.0
19177,58.33,3561.0
19179,43.04,15139.0
19181,50.26,19653.0
19183,55.11,9094.0
19185,56.17,3021.0
19187,49.08,17048.0
19189,49.73,5527.0
19191,51.71,9417.0
19193,51.6,37896.0
19195,42.9,4004.0
19197,54.76,6336.0
20001,61.31,5766.0
20003,59.92,3478.0
20005,51.58,6900.0
20007,73.37,2498.0
20009,69.28,10955.0
20011,63.53,6308.0
20013,66.38,4691.0
20015,66.45,21002.0
20017,68.44,1317.0
20019,75.25,1880.0
20021,57.0,9130.0
20023,78.94,1727.0
20025,76.03,1261.0
20027,75.92,4088.0
20029,68.95,4503.0
20031,69.3,4040.0
20033,78.27,1006.0
20035,59.35,14210.0
20037,50.3,15034.0
20039,74.75,1759.0
20041,68.48,8092.0
20043,67.45,3649.0
20045,48.32,39838.0
20047,70.38,1563.0
20049,72.87,1550.0
20051,62.4,11160.0
20053,69.1,2839.0
20055,72.6,9150.0
20057,70.22,8917.0
20059,64.08,9658.0
20061,59.92,6866.0
20063,79.13,1495.0
20065,75.36,1474.0
20067,75.69,2856.0
20069,77.19,2160.0
20071,81.45,803.0
20073,69.96,3561.0
20075,77.34,1192.0
20077,70.49,3055.0
20079,64.31,13684.0
20081,83.42,1616.0
20083,79.37,1088.0
20085,60.13,5250.0
20087,59.59,7877.0
20089,78.65,1877.0
20091,62.16,217536.0
20093,77.21,1437.0
20095,72.95,3808.0
20097,81.11,1608.0
20099,54.44,8538.0
20101,77.05,1133.0
20103,56.39,23271.0
20105,73.41,1890.0
20107,61.29,4259.0
20109,82.49,1397.0
20111,56.17,12455.0
20113,72.21,12461.0
20115,73.81,5903.0
20117,62.61,5115.0
20119,80.04,2053.0
20121,59.21,11607.0
20123,75.78,3266.0
20125,64.04,13745.0
20127,64.45,2641.0
20129,78.94,1557.0
20131,70.54,5290.0
20133,60.8,6886.0
20135,78.76,1876.0
20137,74.47,2451.0
20139,59.84,6613.0
20141,74.74,2030.0
20143,75.81,2791.0
20145,65.65,2940.0
20147,77.1,2792.0
20149,70.99,7731.0
20151,68.71,4416.0
20153,81.51,1740.0
20155,62.71,25430.0
20157,78.75,2985.0
20159,67.12,4520.0
20161,63.3,18253.0
20163,77.15,2775.0
20165,70.98,1854.0
20167,73.31,3482.0
20169,62.37,21527.0
20171,81.25,2303.0
20173,59.97,163417.0
20175,77.46,5096.0
20177,50.76,74373.0
20179,80.11,1489.0
20181,73.55,2682.0
20183,74.18,2184.0
20185,73.17,2200.0
20187,78.5,1029.0
20189,83.24,2111.0
20191,63.51,10232.0
20193,77.76,3780.0
20195,70.28,1837.0
20197,68.04,3420.0
20199,87.74,861.0
20201,78.07,3267.0
20203,80.58,1090.0
20205,69.85,4095.0
20207,65.15,1595.0
20209,30.2,48272.0
21001,75.42,7328.0
21003,69.36,6429.0
21005,62.85,7967.0
21007,49.24,3770.0
21009,63.94,13844.0
21011,52.46,4473.0
21013,53.85,10611.0
21015,70.42,31984.0
21017,56.01,7102.0
21019,49.22,19182.0
21021,60.72,10326.0
21023,69.93,3019.0
21025,41.8,5073.0
21027,64.73,7453.0
21029,63.17,22701.0
21031,73.77,5010.0
21033,58.71,5482.0
21035,57.76,13673.0
21037,63.33,33829.0
21039,55.01,2593.0
21041,53.17,3499.0
21043,52.47,8959.0
21045,79.25,5469.0
21047,61.41,17773.0
21049,59.74,12473.0
21051,74.09,6719.0
21053,75.75,4305.0
21055,60.53,4154.0
21057,75.1,3006.0
21059,60.19,36240.0
21061,65.52,4995.0
21063,35.16,2381.0
21065,65.59,4710.0
21067,53.55,105477.0
21069,64.42,5179.0
21071,33.44,15394.0
21073,48.47,21654.0
21075,47.1,2788.0
21077,56.18,2459.0
21079,70.24,5823.0
21081,63.17,7103.0
21083,56.28,14235.0
21085,69.17,8554.0
21087,76.91,4756.0
21089,50.24,14663.0
21091,57.4,3610.0
21093,63.09,30690.0
21095,48.14,10535.0
21097,58.8,6611.0
21099,62.86,6019.0
21101,48.87,16039.0
21103,60.51,5473.0
21105,55.05,2124.0
21107,58.49,16489.0
21109,85.33,4855.0
21111,49.18,302362.0
21113,68.5,15061.0
21115,59.53,8180.0
21117,64.93,56249.0
21119,31.81,6458.0
21121,62.15,9910.0
21123,66.21,5179.0
21125,72.85,18120.0
21127,56.8,5307.0
21129,69.37,2764.0
21131,72.3,4434.0
21133,46.55,8985.0
21135,71.33,4568.0
21137,64.16,7597.0
21139,51.16,4230.0
21141,57.9,9332.0
21143,50.12,3420.0
21145,56.37,26689.0
21147,70.08,4799.0
21149,55.95,4022.0
21151,59.51,23666.0
21153,51.69,5453.0
21155,53.98,6176.0
21157,54.04,13761.0
21159,60.88,4456.0
21161,62.12,5873.0
21163,59.66,9071.0
21165,52.99,2249.0
21167,63.43,8632.0
21169,65.26,3849.0
21171,79.08,5569.0
21173,54.19,8519.0
21175,55.04,4240.0
21177,46.71,11956.0
21179,58.46,13488.0
21181,61.87,2673.0
21183,62.1,8882.0
21185,68.53,20268.0
21187,64.94,4070.0
21189,81.22,1826.0
21191,64.57,4803.0
21193,49.01,11000.0
21195,44.71,24935.0
21197,52.93,4362.0
21199,74.53,21541.0
21201,64.88,998.0
21203,77.27,5247.0
21205,50.29,7226.0
21207,75.49,7074.0
21209,59.24,13786.0
21211,64.53,12738.0
21213,55.09,5824.0
21215,66.96,4772.0
21217,68.8,9051.0
21219,63.88,4187.0
21221,59.73,5344.0
21223,60.87,3081.0
21225,51.91,5368.0
21227,62.42,32975.0
21229,67.61,4588.0
21231,63.77,6474.0
21233,52.12,5072.0
21235,64.66,11774.0
21237,52.73,2425.0
21239,59.59,10137.0
22001,NA,NA
22003,NA,NA
22005,NA,NA
22007,NA,NA
22009,NA,NA
22011,NA,NA
22013,NA,NA
22015,NA,NA
22017,NA,NA
22019,NA,NA
22021,NA,NA
22023,NA,NA
22025,NA,NA
22027,NA,NA
22029,NA,NA
22031,NA,NA
22033,NA,NA
22035,NA,NA
22037,NA,NA
22039,NA,NA
22041,NA,NA
22043,NA,NA
22045,NA,NA
22047,NA,NA
22049,NA,NA
22051,NA,NA
22053,NA,NA
22055,NA,NA
22057,NA,NA
22059,NA,NA
22061,NA,NA
22063,NA,NA
22065,NA,NA
22067,NA,NA
22069,NA,NA
22071,NA,NA
22073,NA,NA
22075,NA,NA
22077,NA,NA
22079,NA,NA
22081,NA,NA
22083,NA,NA
22085,NA,NA
22087,NA,NA
22089,NA,NA
22091,NA,NA
22093,NA,NA
22095,NA,NA
22097,NA,NA
22099,NA,NA
22101,NA,NA
22103,NA,NA
22105,NA,NA
22107,NA,NA
22109,NA,NA
22111,NA,NA
22113,NA,NA
22115,NA,NA
22117,NA,NA
22119,NA,NA
22121,NA,NA
22123,NA,NA
22125,NA,NA
22127,NA,NA
23001,43.18,49245.0
23003,49.05,35143.0
23005,44.1,142620.0
23007,45.96,15448.0
23009,49.51,28574.0
23011,43.45,58907.0
